date,team1,team1_score,team2,team2_score,team1_FGA,team1_FG_pct,team1_FTA,team1_FT_pct,team1_TRB,team1_fg3a,team1_fg3_pct,team1_TOV,team1_stl,team1_blk,team1_ast,team2_FGA,team2_FG_pct,team2_FTA,team2_FT_pct,team2_TRB,team2_fg3a,team2_fg3_pct,team2_TOV,team2_stl,team2_blk,team2_ast,Home_Team_ID,Away_Team_ID,HomeWin,month
2023-11-20,Boston,118,Charlotte,121,97,0.433,28,0.643,48,50,0.32,13,6,8,19,104,0.442,17,0.941,57,39,0.333,13,9,7,29,5,20,1,0
2023-11-20,Denver,107,Detroit,103,87,0.46,21,0.762,43,28,0.393,14,7,8,30,81,0.444,26,0.923,43,21,0.333,18,7,5,21,13,8,0,0
2023-11-20,Houston,116,Golden State,121,95,0.463,19,0.789,48,41,0.317,8,6,3,28,77,0.468,33,0.848,43,43,0.488,8,3,1,26,19,29,1,0
2023-11-20,New York,100,Minnesota,117,92,0.348,34,0.794,50,38,0.237,10,8,3,16,80,0.513,32,0.75,44,34,0.324,13,7,7,30,28,18,1,0
2023-11-20,Sacramento,93,New Orleans,129,87,0.379,24,0.667,36,45,0.244,13,4,5,27,92,0.543,21,0.81,55,28,0.429,10,8,6,38,10,4,1,0
2023-11-20,LA Clippers,124,San Antonio,99,95,0.474,25,0.88,51,36,0.333,7,15,3,30,90,0.433,14,0.786,49,38,0.263,16,4,7,23,15,6,0,0
2023-11-20,Milwaukee,142,Washington,129,94,0.585,28,0.75,55,29,0.379,13,3,6,33,99,0.556,11,0.818,26,29,0.345,4,6,4,29,0,11,0,0
2023-11-21,Indiana,157,Atlanta,152,94,0.606,28,0.75,29,45,0.489,13,7,11,35,95,0.6,28,0.821,39,31,0.484,15,8,4,28,22,1,0,0
2023-11-21,Utah,99,LA Lakers,131,98,0.388,16,0.75,42,44,0.25,14,6,3,25,86,0.57,27,0.815,52,29,0.379,13,6,5,35,23,21,1,0
2023-11-21,Toronto,107,Orlando,126,75,0.507,22,0.773,38,28,0.5,23,6,6,29,100,0.5,20,0.7,40,31,0.387,12,12,8,31,16,14,1,0
2023-11-21,Cleveland,122,Philadelphia,119,94,0.489,25,0.84,56,25,0.36,15,9,4,33,96,0.417,34,0.824,44,35,0.314,14,12,8,19,26,9,0,0
